DeLa,Id,PinaLa,Tip,Zile,RestrictiiTren_Id
"20150613","1","20150913","Da","383",334
"20141214","1","20151212","Da","16767",335
"20141214","1","20141219","Da","799",336
"20150105","2","20150130","Da","799",336
"20150209","3","20150410","Da","799",336
"20150420","4","20150619","Da","799",336
"20150914","5","20151212","Da","799",336
"20141214","1","20151212","Da","16767",337
"20141214","1","20151212","Da","16767",338
"20141214","1","20151212","Da","16767",339
"20141214","1","20151212","Da","16767",340
"20141214","1","20151212","Da","16767",341
"20141214","1","20151212","Da","16767",342
"20150613","1","20150913","Da","383",343
"20131215","1","20151212","Da","383",344
"20141214","1","20151212","Da","16767",345
"20141214","1","20151212","Da","16767",346
"20141214","1","20151212","Da","16767",347
"20141214","1","20151212","Da","16767",348
"20141214","1","20151212","Da","16767",349
"20141214","1","20151212","Da","16767",350
"20141214","1","20151212","Da","16767",351
"20141214","1","20151212","Da","16767",352
"20141214","1","20151212","Da","16767",353
"20141214","1","20151212","Da","16767",354
"20141214","1","20151212","Da","16767",355
"20141214","1","20151212","Da","16767",356
"20141214","1","20151212","Da","16767",357
"20141214","1","20150612","Da","383",358
"20150914","2","20151212","Da","383",358
"20141214","1","20151212","Da","16767",359
"20141214","1","20151212","Da","16767",360
"20141214","1","20151212","Da","16767",361
"20141214","1","20151212","Da","16767",362
"20141214","1","20151212","Da","831",363
"20141214","1","20151212","Da","16767",364
"20150612","1","20150904","Da","383",365
"20141214","1","20141221","Da","287",366
"20141227","2","20141228","Da","287",366
"20150103","3","20150201","Da","287",366
"20150207","4","20150412","Da","287",366
"20150418","5","20150430","Da","287",366
"20150502","6","20150531","Da","287",366
"20150602","7","20150621","Da","287",366
"20150627","8","20150628","Da","287",366
"20150704","9","20150705","Da","287",366
"20150711","10","20150712","Da","287",366
"20150718","11","20150719","Da","287",366
"20150725","12","20150726","Da","287",366
"20150801","13","20150802","Da","287",366
"20150808","14","20150809","Da","287",366
"20150815","15","20150816","Da","287",366
"20150822","16","20150823","Da","287",366
"20150829","17","20150830","Da","287",366
"20150905","18","20150906","Da","287",366
"20150912","19","20151129","Da","287",366
"20151202","20","20151212","Da","287",366
"20141214","1","20151212","Da","351",367
"20150614","1","20150914","Da","383",368
"20141214","1","20151212","Da","351",369
"20141214","1","20151212","Da","16767",370
"20141214","1","20151212","Da","16767",371
"20141214","1","20151212","Da","16767",372
"20141214","1","20151212","Da","16767",373
"20141214","1","20151212","Da","16767",374
"20141214","1","20150611","Da","383",375
"20150914","2","20151212","Da","383",375
"20141214","1","20151212","Da","16767",376
"20141214","1","20151212","Da","16767",377
"20141214","1","20151212","Da","16767",378
"20141214","1","20151212","Da","16767",379
"20141214","1","20151212","Da","16767",380
"20141214","1","20151212","Da","16767",381
"20141214","1","20151212","Da","382",382
"20141214","1","20141221","Da","799",383
"20150103","2","20150131","Da","799",383
"20150207","3","20150412","Da","799",383
"20150418","4","20150430","Da","799",383
"20150502","5","20150531","Da","799",383
"20150602","6","20150620","Da","799",383
"20150801","7","20150801","Da","799",383
"20150912","8","20151129","Da","799",383
"20151202","9","20151212","Da","799",383
"20141214","1","20151212","Da","16767",384
"20141214","1","20141224","Da","799",385
"20141227","2","20141231","Da","799",385
"20150103","3","20150412","Da","799",385
"20150414","4","20150430","Da","799",385
"20150502","5","20150531","Da","799",385
